basin_ID,nse,alpha-nse,beta-nse,fhv,fms,flv,kge,beta-kge,peak-timing,peak-mape,pearson-r
14137000,6.9170e-01,1.0379e+00,1.0430e+00,2.0612e+00,2.9374e+01,-3.7711e+02,8.4212e-01,1.0430e+00,6.3158e-01,2.8912e+01,8.5289e-01
14138800,7.9199e-01,9.2951e-01,9.6991e-01,-1.3622e+01,5.7663e+01,-4.2790e+02,8.6673e-01,9.6991e-01,3.8095e-01,2.9308e+01,8.9098e-01
14138870,6.9124e-01,1.0286e+00,1.0163e+00,-4.4849e+00,2.1185e+01,-2.2026e+02,8.4680e-01,1.0163e+00,6.0000e-01,3.4380e+01,8.5039e-01
14138900,7.4734e-01,1.0070e+00,9.6472e-01,-1.0699e+01,7.0132e+01,-5.8638e+02,8.6987e-01,9.6472e-01,3.4146e-01,2.7265e+01,8.7494e-01
14139800,8.0442e-01,1.0086e+00,9.9040e-01,-7.7885e+00,4.0649e+01,-1.5831e+02,9.0225e-01,9.9040e-01,3.0233e-01,2.7584e+01,9.0311e-01
14141500,7.2800e-01,1.0395e+00,1.0671e+00,-1.7315e+00,2.1358e+01,-1.4343e+02,8.4960e-01,1.0671e+00,5.7778e-01,3.3945e+01,8.7132e-01
14154500,6.1548e-01,1.0794e+00,1.1401e+00,4.0405e+00,6.7212e+01,-4.9295e+02,7.6462e-01,1.1401e+00,1.0526e+00,4.3670e+01,8.2834e-01
14158500,6.5874e-01,9.6852e-01,1.0983e+00,-1.4250e+01,2.3882e+00,-1.2711e+01,8.1018e-01,1.0983e+00,1.6250e+00,3.4492e+01,8.4068e-01
14158790,7.7730e-01,9.7702e-01,9.3790e-01,-8.5113e+00,4.0271e+01,-3.5239e+02,8.6931e-01,9.3790e-01,5.6757e-01,2.7308e+01,8.8732e-01
14166500,7.1257e-01,1.1020e+00,1.3024e+00,1.9429e+00,3.1278e+01,-2.4822e+01,6.6240e-01,1.3024e+00,7.6000e-01,2.5211e+01,8.8982e-01
14182500,7.7648e-01,9.1099e-01,8.9089e-01,-1.2021e+01,3.7427e+01,-1.7326e+02,8.1790e-01,8.9089e-01,6.1538e-01,3.2623e+01,8.8453e-01
14185000,8.2202e-01,1.0702e+00,9.8393e-01,2.3130e+00,7.6102e+01,-3.2387e+02,8.9176e-01,9.8393e-01,4.8780e-01,2.6797e+01,9.1921e-01
14185900,8.1711e-01,9.3844e-01,8.7224e-01,-1.1294e+01,6.4801e+01,-4.7289e+02,8.3120e-01,8.7224e-01,4.2500e-01,2.7128e+01,9.0845e-01
14222500,7.7460e-01,1.0398e+00,1.0968e+00,3.7870e+00,4.6062e+00,-1.8177e+02,8.5168e-01,1.0968e+00,6.8571e-01,3.3116e+01,8.9492e-01
14236200,7.8871e-01,9.0140e-01,8.4840e-01,-1.3830e+01,2.0371e+01,-2.6902e+02,7.9112e-01,8.4840e-01,5.6757e-01,3.0974e+01,8.9547e-01
14301000,8.7372e-01,1.0692e+00,1.1702e+00,8.1388e-01,2.0690e+01,-2.2499e+02,8.0940e-01,1.1702e+00,5.4286e-01,2.4531e+01,9.4926e-01
14305500,8.4114e-01,8.8213e-01,7.8686e-01,-1.4335e+01,6.6813e+01,-3.5096e+02,7.4636e-01,7.8686e-01,4.8387e-01,3.4510e+01,9.2919e-01
14306500,8.3942e-01,1.0933e+00,1.1111e+00,8.5556e+00,4.0207e+01,-2.8922e+02,8.4017e-01,1.1111e+00,7.7778e-01,3.2670e+01,9.3303e-01
14309500,6.0901e-01,1.1553e+00,1.2763e+00,1.2127e+01,6.0490e+01,-2.3933e+02,6.4921e-01,1.2763e+00,1.0370e+00,4.2788e+01,8.4975e-01
14316700,7.3857e-01,1.0834e+00,1.0036e+00,2.6674e+00,1.3300e+02,-8.1634e+02,8.5590e-01,1.0036e+00,6.2162e-01,2.6990e+01,8.8257e-01
14325000,7.3809e-01,1.0373e+00,1.2002e+00,-4.0369e+00,1.3654e+01,-5.6775e+01,7.6399e-01,1.2002e+00,7.5758e-01,3.7018e+01,8.8062e-01
14400000,6.8867e-01,6.3503e-01,6.0584e-01,-3.8178e+01,3.6137e+01,-1.8389e+02,4.5398e-01,6.0584e-01,5.4545e-01,4.5288e+01,9.0215e-01
